Start,End,Open,High,Low,Close,Volume,Volatility,Impact,Rolling_std,Price_to_Volume,Cluster
2024-01-22,2024-01-23,41598.12,41685.73,39516.98,39516.98,0.13665770599124583,0.18073087734133586,7.479877085879775e-08,1157.05454482307,289167.59368499444,1
2024-01-19,2024-01-20,41339.94,42186.01,40336.03,41627.16,0.20361099216150477,0.1541664592340865,4.28250769238733e-08,953.5005432542968,204444.56145560762,1
2024-01-18,2024-01-19,42760.1,42916.99,40751.17,41296.92,0.15704184669397184,0.1804867083635329,6.50026839721285e-08,929.1311574263801,262967.6157621573,1
2024-01-17,2024-01-18,43156.79,43188.0,42259.96,42764.71,0.17647704143065598,0.07733739868950017,2.4786012450403677e-08,1123.4273457532174,242324.49531858088,1
2024-01-16,2024-01-17,42541.13,43525.03,42090.04,43137.2,0.16715125993693147,0.1195836318967346,4.0463706564530376e-08,1164.7361787547864,258072.83783727547,1
2024-01-15,2024-01-16,41845.43,43369.82,41845.43,42611.43,0.15693528268210136,0.12703370241399833,4.578253079488882e-08,722.9332710135166,271522.3069774346,1
2024-01-13,2024-01-14,42849.69,43250.08,42463.07,42840.02,0.28000814191662865,0.06558478744733376,1.324796904802948e-08,716.3896901827679,152995.62257998716,1
2024-01-11,2024-01-12,46599.08,48853.77,45699.32,46356.96,0.4067937398787528,0.26287332151210435,3.655066030517007e-08,1464.325569054119,113956.91589014363,1
2024-01-10,2024-01-11,46063.42,47629.98,44632.42,46564.21,0.2946570096323216,0.24979903109316223,4.7950351904921646e-08,1914.5109187204534,158028.51613170063,1
2024-01-09,2024-01-10,47036.79,47842.37,45412.61,46082.08,0.526276478315844,0.20248191655510528,2.176197616421065e-08,2077.886119221197,87562.49214760443,1
2024-01-07,2024-01-08,43971.9,44442.83,43625.9,43850.46,0.45401471761615914,0.06807814438107553,8.481294834454623e-09,1800.3851116000114,96583.78527956181,1
2024-01-06,2024-01-07,44139.38,44180.03,43454.05,43941.78,0.547479646409433,0.06049890597453015,6.2503738653690015e-09,1611.161291625657,80261.94268259263,1
2024-01-02,2024-01-03,44245.11,45846.21,44245.11,44957.63,0.21982325631933733,0.13342626292159657,3.4330422855548175e-08,1271.6922070591318,204517.16871435128,1
2024-01-01,2024-01-02,42396.02,44122.03,42227.99,44122.03,0.11987154071989163,0.1578381606545632,7.447088498919346e-08,632.8120739093677,368077.6082047833,1
2023-12-30,2023-12-31,42040.12,42570.01,41539.76,42198.85,0.16382603973436907,0.085854979311083,2.9640495840013418e-08,1091.1590606344296,257583.28815383738,1
2023-12-29,2023-12-30,42631.14,43033.78,41683.16,42057.41,0.16615519721438213,0.11255273201371951,3.831294104470473e-08,1177.4274225271588,253121.24270019273,1
2023-12-28,2023-12-29,43421.73,43730.03,42321.07,42592.06,0.16653419466923775,0.11741444469802809,3.9876915960801645e-08,1112.2814770636921,255755.64276510486,1
2023-12-27,2023-12-28,42484.06,43624.64,42154.05,43384.25,0.15875793399363655,0.12255032664410119,4.3659712505003124e-08,1117.7799348538297,273272.95656126994,1
2023-12-26,2023-12-27,43573.22,43573.22,41723.24,42519.8,0.15175248654155765,0.1541664592340865,5.745850456320363e-08,754.9200509546197,280191.7844578836,1
2023-12-22,2023-12-23,43846.04,44358.59,43429.95,43948.89,0.1692797830944817,0.07738739916277027,2.5856464975618722e-08,560.6904537136413,259622.7924953708,1
2023-12-21,2023-12-22,43637.62,44206.01,43296.11,43849.41,0.19738326715076682,0.07582571771429707,2.1727753094207906e-08,511.1046813892012,222153.63355246626,1
2023-12-20,2023-12-21,42269.85,44279.96,42225.37,43645.95,0.17235839464519837,0.17121745396045399,5.618497175340583e-08,516.1198957282321,253227.87491636633,1
2023-12-19,2023-12-20,42619.05,43314.73,41846.62,42300.16,0.18922474601729133,0.12234365802125127,3.656882021785442e-08,585.820321588091,223544.5463149657,1
2023-12-18,2023-12-19,41430.58,42714.97,40660.03,42666.06,0.15651129444267,0.17124662090319545,6.18838987126048e-08,646.2572592241315,272606.90771188115,1
2023-12-15,2023-12-16,42961.53,43078.69,41742.32,41953.42,0.17960021405252022,0.11136522077355226,3.5071035788619284e-08,877.29217029015,233593.3741578483,1
2023-12-14,2023-12-15,42832.03,43357.6,41938.38,43004.17,0.20232659434302985,0.11826945279094911,3.306198453235703e-08,718.3296634587788,212548.2818491453,1
2023-12-13,2023-12-14,41427.04,43354.3,40693.86,42906.87,0.17918179667691592,0.22170543184506467,6.998230378106426e-08,550.7981654489835,239459.98307721913,1
2023-12-12,2023-12-13,41233.99,42045.96,40700.59,41512.61,0.23120940594011422,0.11211522787260565,2.7426589512516455e-08,638.6267504352671,179545.5069451293,1
2023-12-11,2023-12-12,43795.02,43804.42,40375.19,41221.12,0.20704988539545294,0.28577187158742523,7.806464831209588e-08,710.4823368469789,199087.86677795122,1
2023-12-09,2023-12-10,44228.39,44344.36,43629.98,43701.25,0.16459393630650027,0.05953223015797258,2.0456973693807583e-08,1026.4157581580944,265509.4773274106,1
2023-12-08,2023-12-09,43349.04,44614.01,43129.99,44199.33,0.1872219245762156,0.1236695039041337,3.7360529346387247e-08,1142.28245445768,236079.88273834367,1
